tipo_producto,Codigo,Descripcion,unidad_medida,Valor_unitario,IVA,IC,INC,Cantidad_real,Cantidad_paquete
Servicio,S001,Suministro y Aplicacion Fiber Glass Emulsión PX-900,Metro Cuadrado,1500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S002,Suministro e Instalación de manto asfaltico Fiber Glass METALEX PRO 3MM con foil de aluminio,Metro Cuadrado,29000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S003,Suministro y Aplicación de sistema Epoxico para tanques de almacenamiento de agua potable,Metro Cuadrado,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S004,Suministro e Instalación de sistema Geotextil NT 1600,Metro Cuadrado,9000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S005,Suministro e Instalación de sistema Geotextil NT-1800,Metro Cuadrado,9000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S006,Suministro e Instalación de Membrana PVC para Piscinas,Metro Cuadrado,120000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S007,Suministro e Instalación del sello de borde perimetral de la Membrana PVC con poliuretano,Metro Lineal,9500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S008,Suministro y Aplicación del sistema Sikafloor 2430 A dos capas,Metro Cuadrado,29000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S009,Suministro y Aplicación de recubrimiento Sikafloor 264,Metro Cuadrado,79000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S010,Suministro y Aplicación del sistema Sika 101 mortero,Metro Cuadrado,12000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S011,Suministro y Aplicación del sistema Master Seal HLM 5000,Unidad,180000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S012,Suministro y Aplicación deL sistema Vulkem Peatonal antideslizante,Metro Cuadrado,112000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S013,Suministro y Aplicación de membrana liquida base poliuretano,Metro Cuadrado,28000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S014,Suministro y Aplicación del sistema acrílico AQUAZERO 12 Años,Metro Cuadrado,32000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S015,Suministro y Aplicación de sistema Acrílico AQUAZERO 8 años,Metro Cuadrado,26000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S016,Suministro y Aplicación del sistema acrílico AQUAZERO 5 años,Metro Cuadrado,23000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S017,Suministro e Instalación de Cordón de bentonita SUPERSTOP,Metro Lineal,28000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S018,Suministro y Aplicación de Vandex en superficie,Metro Cuadrado,28000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S019,Suministro y Aplicación de hidrófugo LIMESTONE 10 Años,Metro Cuadrado,9500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S020,Suministro y Aplicación de impermeabilizante EUCO K-11,Metro Cuadrado,32000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S021,Suministro e Instalación del sietema EUCO MEMBRANA PVC para tanques,Metro Cuadrado,90000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S022,Suministro y Aplicacion sistema EUCO Plus 1000 a dos capas y EUCO Plus 7000 a tres capas,Metro Cuadrado,52000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S023,Suministro y Aplicación de recubrimiento epoxico TOC 80-20,Metro Cuadrado,42000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S024,Suministro y Aplicación del sistema transitable VULKEM 350-351,Metro Cuadrado,85000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S025,Suministro y Aplicación de VULKEM 350 blanco,Metro Cuadrado,85000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S026,Suministro y Aplicación de sistema de Impermeabilización Sikalastic 612,Metro Cuadrado,68000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S027,Suministro y Aplicación de ADESILEX PG-1 Adhesivo epoxídico tixotrópica  para sello de membrana,Unidad,450000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S028,Suministro y Aplicación de hidrofugo LIMESTON Plus 10 años a dos capas,Metro Cuadrado,12500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S029,Suministro e Instalación de membrana Sarnafil F 610-12,Metro Cuadrado,82000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S030,Suministro y Aplicación de IGASOL Cubierta.reforzado con Sikafelt y ALUMOL,Metro Cuadrado,37000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S031,Suministro y Aplicación de imprimante epoxico 1955,Metro Cuadrado,13000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S032,Suministro y Aplicación de capa de sellado y acabado epoxico a dos manos High Gloss RAL 5015 Azul o Gris,Metro Cuadrado,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S033,Preparación de superficie Retiro de rebajas e imperfecciones sobre el area,Metro Cuadrado,2800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S034,Limpieza y lavado de piscina,Metro Cuadrado,120000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S035,Tratamiento de la junta con Sellasil y Vulkem 45SSL con sello de poliuretano auto nivelante,Metro Lineal,14200,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S036,Tratamiento de la junta con Sellasil y Vulkem 45SSL,Metro Lineal,9800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S037,Reparación de superficie con Verticoat 1,Metro Cuadrado,22000,IVA: Exento 0%,0,INC: No Tiene,1,1
